
floquinho;Puli_floquinho
grande-Porte;Great-Dane_grande-porte
pelagem-dupla;Kuvasz_pelagem-dupla
pelo-branco;Kuvasz_pelo-branco
working-dog;Akita_working-dog
frio;Alaskan-Malamute_frio
working-dog;Alaskan-Malamute_working-dog
pelo-longo;Australian-Shepherd_pelo-longo
orelha-caida;Australian-Shepherd_orelha-caida
pelo-curto;Beagle_pelo-curto
orelha-caida;Beagle_orelha-caida
pelo-longo;Boder-Collie_pelo-longo
herding-dog;Boder-Collie_herding-dog
medio-porte;Boxer_medio-porte
orelha-pontuda;Boxer_orelha-pontuda
pelo-curto;Boxer_pelo-curto
pelo-medio;Akita_pelo-medio
pelo-longo;Cocker-Spaniel_pelo-longo
orelha-caida;Cocker-Spaniel_orelha-caida
sporting-dog;Cocker-Spaniel_sporting-dog
herding-dog;Australian-Shepherd_herding-dog
hound-dog;Beagle_hound-dog
working-dog;Boxer_working-dog
pelo-medio;Corgi_pelo-medio
pequeno-porte;Corgi_pequeno-porte
herding-dog;Corgi_herding-dog
pequeno-porte;Dachshund_pequeno-porte
pelo-curto;Dachshund_pelo-curto
orelha-caida;Dachshund_orelha-caida
grande-porte;Dalmatian_grande-porte
pelo-curto;Dalmatian_pelo-curto
orelha-caida;Dalmatian_orelha-caida
pelo-curto;Doberman_pelo-curto
medio-porte;Doberman_medio-porte
orelha-empinada;Doberman_orelha-empinada
hound-dog;Dachshund_hound-dog
companion-dog;Dalmatian_companion-dog
working-dog;Doberman_working-dog
pelo-medio;German-Shepherd_pelo-medio
grande-porte;German-Shepherd_grande-porte
herding-dog;German-Shepherd_herding-dog
orelha-pontuda;German-Shepherd_orelha-pontuda
grande-porte;Golden-Retriever_grande-porte
pelo-longo;Golden-Retriever_pelo-longo
orelha-caida;Golden-Retriever_orelha-caida
pelo-curto;Great-Dane_pelo-curto
orelha-pontuda;Great-Dane_orelha-pontuda
working-dog;Great-Dane_working-dog
grande-porte;Kuvasz_grande-porte
working-dog;Kuvasz_working-dog
pelo-curto;Mastiff_pelo-curto
grande-porte;Mastiff_grande-porte
orelha-caida;Mastiff_orelha-caida
working-dog;Mastiff_working-dog
companion-dog;Poodle_companion-dog
medio-porte;Poodle_medio-porte
pequeno-porte;Pug_pequeno-porte
pelo-curto;Pug_pelo-curto
orelha-caida;Pug_orelha-caida
companion-dog;Pug_companion-dog
herding-dog;Puli_herding-dog
pelo-longo;Puli_pelo-longo
pequeno-porte;Puli_pequeno-porte
orelha-caida;Rotrweiler_orelha-caida
medio-porte;Rotrweiler_medio-porte
working-dog;Rotrweiler_working-dog
pelo-curto;Rotrweiler_pelo-curto
grande-porte;Siberian-Husky_grande-porte
orelha-pontuda;Siberian-Husky_orelha-pontuda
pelo-medio;Siberian-Husky_pelo-medio
working-dog;Siberian-Husky_working-dog
pug;grupo_pug
rottweiler;grupo_rottweiler
golden-retriever;grupo_golden-retriever
boder-collie;grupo_boder-collie
mastiff;group2_mastiff
cocker-spaniel;group2_cocker-spaniel
miniature-pinscher;group2_miniature-pinscher
pug;group2_pug
doberman;group3_doberman
great-dane;group3_great-dane
siberian-husky;group3_siberian-husky
rottweiler;group3_rottweiler
boxer;group3_boxer
saint-bernard;group3_saint-bernard
schnauzer;group3_schnauzer
great-dane;group4_great-dane
greyhound;group4_greyhound
saint-bernard;group4_saint-bernard
dalmatian;group4_dalmatian
boder-collie;group2_boder-collie
